Less24,RecvMonth,Similarity
False,157,0.6633623519869866
False,233,0.7688829580963655
False,108,0.9061534861162234
False,183,0.8359226813677973
False,11,0.8389044666497567
False,72,0.8007379013610345
False,163,0.9759759311638366
True,8,0.9500866869795592
False,154,0.8768885160914219
False,186,0.41034920645799483
False,233,0.7016499602375825
False,251,0.93045578422842
False,203,0.7420524731283139
False,167,0.7597807002516187
False,220,0.9804110884248013
False,136,0.8673862785431119
True,120,0.8641048177983013
False,254,0.9388263348486376
False,244,0.9411799456295573
False,251,0.9579877206656734
False,226,0.861326766949119
False,236,0.7995964637824238
False,150,0.897221642391089
False,194,0.8850687246223718
False,147,0.9079802209347376
False,95,0.6012443657475373
False,236,0.8480873209345128
False,155,0.907502712813655
False,66,0.8055157613257368
True,202,0.894300921587973
False,133,0.8520532870073433
False,172,0.7746789720964489
False,76,0.5435416374648359
False,161,0.75082197314609
False,71,0.7689171478605379
False,235,0.8870566812055755
False,250,0.7929116394442695
False,236,0.8964975934142618
False,158,0.925317055394654
False,128,0.7437279932955496
False,220,0.9580335452855867
True,233,0.8447673052996533
False,103,0.7534886566592445
False,158,0.8188774361988684
False,27,0.8926241723198717
False,235,0.8402177261033511
True,163,0.9494618239670876
False,148,0.9645679657784269
False,141,0.8566092410725757
False,56,0.8639079010104984
False,193,0.8538598770203192
False,214,0.8078929368769416
False,212,0.7478810735236002
False,76,0.6119314602412532
False,115,0.6876596899013445
False,48,0.6663294353828666
False,35,0.7861913268178069
False,67,0.8234943261824619
False,79,0.43682880002940866
False,17,0.9171916397936835
False,97,0.8155610512508694
False,60,0.8390897499439528
False,187,0.886304988220053
False,142,0.81294588243143
False,207,0.8762856021806925
False,21,0.9086724388250682
False,151,0.774909003079594
False,145,0.7867027704718367
False,148,0.805365385063548
True,199,0.7256745246514983
True,75,0.9155716316206156
False,59,0.8021441496443895
False,112,0.8787310373588141
False,219,0.5085969796012375
False,85,0.6166000212065872
False,248,0.7378792689577702
False,159,0.6891361682001068
False,211,0.8156439533541688
False,184,0.697747832120164
False,24,0.545141423825471
False,183,0.7078195674870679
False,86,0.9647007882754856
False,258,0.8192796848750619
False,45,0.6424200924974237
False,98,0.818373498109441
False,147,0.8145930638902205
False,183,0.9645460830415634
False,109,0.9364225823757979
False,14,0.925317014665118
True,130,0.7601417900129692
True,180,0.932202962925365
False,76,0.7614826694848237
False,223,0.5829552457292153
False,94,0.9347297896706286
False,158,0.949388647007798
False,145,0.7440477519422587
False,72,0.6133812584470322
False,160,0.9065329488804991
False,93,0.8872654944077801
False,71,0.6134887145717279
False,203,0.8658992817035885
False,159,0.7249354169453732
False,236,0.9148357442875056
False,248,0.8631789410732473
False,180,0.7286610698536363
True,117,0.8936847477668963
True,158,0.8889319855901786
True,194,0.873012903087051
False,167,0.6902130851040378
False,190,0.8139432217846936
False,210,0.9122957800223918
False,101,0.8810305626731745
False,179,0.8191577260454532
True,154,0.9406858128425386
False,240,0.7381373687401535
